variant,trades,win%,net%,cagr%,dd%,pf,sharpe,best%,worst%
V1 baseline (Pine defaults),39.0,40.3,8.3,0.79,6.4,1.54,0.28,22.0,-2.0
V2 baseline (trail fix only),24.0,41.4,21.4,1.94,6.7,2.59,0.5,42.0,3.0
V2 + trend_filter,17.0,39.6,12.8,1.21,6.6,2.93,0.35,30.0,-5.0
V2 + macro_filter,23.0,40.9,18.0,1.67,6.9,2.34,0.44,32.0,1.0
V2 + sector_filter,20.0,41.8,17.4,1.6,6.7,2.77,0.43,33.0,-2.0
V2 + continuation_entries,25.0,41.1,21.6,1.96,6.9,2.55,0.5,41.0,3.0
V2 + pyramid(max=2),24.0,39.7,23.9,2.14,7.5,2.67,0.49,47.0,3.0
V2 + pyramid(max=3),24.0,39.3,24.8,2.2,8.0,2.72,0.48,51.0,1.0
V2 + adaptive_trail,24.0,41.4,17.7,1.6,7.7,2.28,0.4,40.0,-4.0
V2 + pocket_pivot,19.0,42.9,16.0,1.47,6.7,2.64,0.39,34.0,-4.0
V2 + cont + pyramid(2),25.0,40.3,23.6,2.12,7.6,2.6,0.49,45.0,2.0
V2 + trend + macro,16.0,38.8,10.9,1.04,6.7,2.52,0.32,26.0,-4.0
V2 + trend + sector,14.0,39.8,11.8,1.1,6.7,3.34,0.33,28.0,-8.0
V2 + macro + sector,19.0,41.2,14.9,1.4,6.6,2.78,0.4,25.0,-1.0
V2 + ALL filters ON,13.0,37.5,9.7,0.91,8.0,2.46,0.24,21.0,-6.0
