param,value,cagr%,dd%,sharpe
max_concurrent,6.0,15.0,22.6,0.86
max_concurrent,8.0,16.3,28.8,0.87
max_concurrent,10.0,17.3,21.6,0.96
max_concurrent,12.0,17.6,19.0,1.0
max_concurrent,15.0,19.0,24.2,0.96
risk_pct_equity,0.75,16.7,16.9,1.03
risk_pct_equity,1.0,15.0,21.3,0.91
risk_pct_equity,1.5,17.3,21.6,0.96
risk_pct_equity,2.0,20.3,23.9,1.04
risk_pct_equity,2.5,19.1,31.0,0.94
atr_trail_mult,8.0,23.1,19.8,1.17
atr_trail_mult,12.0,10.1,25.6,0.62
atr_trail_mult,15.0,17.3,21.6,0.96
atr_trail_mult,18.0,15.2,21.8,0.88
atr_trail_mult,25.0,18.0,21.6,0.97
atr_stop_mult,1.0,15.7,30.2,0.79
atr_stop_mult,1.5,14.1,24.9,0.76
atr_stop_mult,2.0,17.3,21.6,0.96
atr_stop_mult,2.5,9.5,26.2,0.6
atr_stop_mult,3.0,15.5,20.9,0.87
max_trade_bars,100.0,17.9,26.2,1.03
max_trade_bars,150.0,15.8,21.6,0.9
max_trade_bars,250.0,17.3,21.6,0.96
max_trade_bars,400.0,16.1,20.4,0.88
max_trade_bars,500.0,19.8,27.9,0.93
