policy,n,kept_pct,total_pnl,ret_on_cap_pct,avg_ret_pct,med_ret_pct,win_rate,profit_factor,max_drawdown,avg_mae_pct,avg_mfe_pct,med_t_peak_min,pnl_per_day,worst_day,best_day,top5pct_share,ret_odd,ret_even,ret_H1,ret_H2,stability_score,outlier_dependency_score,tail_dependency_percent,holdout_pass_count,regime_pass_count,recommended_status
baseline_all_fires,1322,100.0,-31816,-4.51,-3.41,-4.0,44.5,0.82,-32532,-41.4,48.9,9.0,-522,-5935,3945,,-2.4,-6.7,-3.6,-5.2,1,1.0,,0,2/8,reject
confirmation_entry_only,554,41.9,-14035,-4.51,-3.94,-4.82,46.2,0.81,-13547,-35.5,58.8,10.0,-230,-2803,2269,,-0.3,-9.3,-6.9,-2.6,1,1.0,,0,1/8,reject
skip_gex_positive,411,31.1,-7618,-2.94,-4.97,-2.11,43.6,0.87,-7613,-39.4,40.8,8.0,-134,-2710,3204,,1.2,-7.0,-3.7,-2.2,1,1.0,,1,2/7,reject
bad_time_filter,1087,82.2,-25508,-4.12,-3.35,-3.97,43.5,0.83,-26943,-40.5,48.1,9.0,-418,-4502,3828,,-1.7,-6.6,-2.9,-5.0,1,1.0,,0,2/8,reject
premium_band,946,71.6,-19779,-3.85,-2.31,-2.14,44.4,0.84,-19344,-39.9,49.4,9.0,-324,-4920,3340,,-3.3,-4.5,-3.4,-4.1,1,1.0,,0,1/8,reject
spxw_penalty,904,68.4,-3849,-1.82,-2.75,-1.26,44.7,0.93,-4475,-38.7,47.6,9.0,-63,-3505,1937,,0.4,-4.4,-1.2,-2.3,1,1.0,,1,4/8,reject
flow_confirmation,477,36.1,6737,3.18,-0.76,0.0,46.1,1.13,-6264,-40.2,51.0,10.0,110,-4636,3676,488.0,9.9,-4.8,11.1,-2.9,2,0.55,56.0,2,6/8,reject
flow_exhaustion,1219,92.2,-24744,-4.29,-3.08,-4.0,44.2,0.83,-26044,-41.0,48.9,9.0,-406,-6100,4715,,-0.2,-8.4,-2.1,-5.7,1,1.0,,0,2/8,reject
wall_distance,791,59.8,-23914,-5.02,-5.38,-5.13,42.5,0.8,-24219,-41.3,45.4,8.0,-392,-4248,3274,,-2.6,-7.8,-5.3,-4.8,1,1.0,,0,1/8,reject
convexity,1135,85.9,-19667,-3.69,-2.8,-4.17,44.3,0.87,-21742,-42.2,52.1,9.0,-322,-5518,5298,,-0.5,-7.0,-3.9,-3.5,1,1.0,,0,2/8,reject
flags_le_1,576,43.6,719,0.23,-3.57,-4.0,41.8,1.01,-10298,-39.8,47.5,9.0,12,-5344,5420,6026.0,5.2,-5.4,1.7,-1.1,2,7.54,53.0,2,6/8,reject
flags_eq_0,162,12.3,2589,2.79,-2.1,-1.42,40.7,1.1,-3229,-36.5,40.9,10.0,52,-2813,2230,601.0,4.5,0.1,3.9,1.7,4,1.44,56.0,4,5/8,research_more
positive_stack_sizing,1322,100.0,-20687,-3.26,-3.41,-4.0,44.5,0.87,-21674,-41.4,48.9,9.0,-339,-5296,4819,,-0.4,-6.3,-2.4,-3.9,1,1.0,,0,2/8,reject
FULL_COMBINED,85,6.4,5310,7.81,-0.33,-4.88,45.9,1.37,-2234,-33.3,52.1,10.0,118,-2052,5445,229.0,17.0,-11.6,-3.3,15.2,2,1.03,62.0,2,7/8,reject
